report_id,rank,track_id,score,sub_idx
24,2,177,0.10040503740310669,6909
24,3,177,0.10183795541524887,6920
24,4,277,0.102047860622406,10836
24,5,177,0.10218619555234909,6925
25,1,343,0.13361385464668274,13381
25,2,343,0.13604307174682617,13384
25,3,343,0.13619501888751984,13382
25,4,343,0.13709360361099243,13380
25,5,343,0.1375131756067276,13379
26,1,70,0.07928144931793213,2739
26,2,70,0.08102674037218094,2740
26,3,70,0.08313553035259247,2731
26,4,70,0.084599569439888,2753
26,5,70,0.08734742552042007,2746
27,1,102,0.07292452454566956,3999
27,2,102,0.07535051554441452,4005
27,3,102,0.07714997977018356,4003
27,4,102,0.07756221294403076,4007
27,5,102,0.07955913245677948,4001
28,1,367,0.1122356727719307,14316
28,2,230,0.11568170040845871,8972
28,3,230,0.11834702640771866,8975
28,4,367,0.12079411000013351,14317
28,5,367,0.12100708484649658,14325
29,1,298,0.17065691947937012,11630
29,2,298,0.1768692284822464,11656
29,3,298,0.17780445516109467,11649
29,4,298,0.17811861634254456,11629
29,5,298,0.1784893423318863,11633
30,1,413,0.06266143918037415,16115
30,2,10,0.0729367807507515,390
30,3,305,0.07470623403787613,11901
30,4,10,0.07533232122659683,397
30,5,305,0.07670135051012039,11909
31,1,153,0.11336856335401535,5976
31,2,153,0.11410799622535706,5984
31,3,153,0.11424007266759872,5999
31,4,153,0.11482086777687073,5992
31,5,215,0.11895386874675751,8417
32,1,348,0.1113688051700592,13610
32,2,348,0.1125885397195816,13605
32,3,348,0.11797676980495453,13606
32,4,348,0.11923864483833313,13596
32,5,348,0.11938101798295975,13609
33,1,183,0.06214997544884682,7141
33,2,183,0.0651814341545105,7138
33,3,183,0.06586822122335434,7150
33,4,183,0.06671653687953949,7143
33,5,183,0.06727924197912216,7142
34,1,68,0.08782753348350525,2660
34,2,68,0.09726116061210632,2659
34,3,223,0.09886640310287476,8703
34,4,223,0.10467968881130219,8711
34,5,223,0.10510417073965073,8712
35,1,429,0.06607060879468918,16764
35,2,429,0.06626968085765839,16748
35,3,429,0.06628406792879105,16763
35,4,429,0.0663200244307518,16756
35,5,429,0.0664277896285057,16740
36,1,269,0.11752626299858093,10497
36,2,269,0.12297467887401581,10491
36,3,405,0.12579119205474854,15818
36,4,405,0.1261732429265976,15825
