track_id,report_id,score,sub_idx
267,70,0.1531921625137329,10435
268,195,0.11125742644071579,10466
271,167,0.29924899339675903,10577
272,70,0.1529320329427719,10608
273,70,0.16035430133342743,10654
274,26,0.21167035400867462,10698
275,167,0.271030068397522,10734
276,32,0.21314777433872223,10776
277,167,0.26482832431793213,10837
278,82,0.22367559373378754,10850
281,152,0.16878117620944977,10991
283,158,0.20340928435325623,11048
284,32,0.2179676741361618,11105
285,110,0.2845779359340668,11136
286,158,0.2293103188276291,11155
287,195,0.09650382399559021,11218
288,82,0.2266571819782257,11255
289,195,0.09627378731966019,11307
290,152,0.20348384976387024,11345
292,103,0.27897465229034424,11404
293,70,0.21891139447689056,11435
294,82,0.2334834635257721,11486
295,82,0.24781464040279388,11522
299,171,0.267168253660202,11661
300,26,0.2745915651321411,11710
302,171,0.19372108578681946,11808
303,26,0.2891760766506195,11819
304,158,0.24178797006607056,11864
305,195,0.11023212969303131,11928
306,70,0.14662611484527588,11935
307,82,0.21481642127037048,11999
309,171,0.28815409541130066,12069
310,152,0.24168097972869873,12106
311,70,0.1601780205965042,12143
312,82,0.24975597858428955,12187
313,70,0.2180831879377365,12212
315,152,0.17597238719463348,12309
317,70,0.14741182327270508,12368
319,70,0.1736270785331726,12459
320,171,0.27528810501098633,12496
321,195,0.214929461479187,12523
322,82,0.2241128385066986,12575
323,112,0.2734503746032715,12597
324,158,0.21839971840381622,12645
325,195,0.21869373321533203,12682
326,171,0.19489656388759613,12748
328,163,0.2678922414779663,12802
329,195,0.10729695856571198,12856
330,195,0.09963390976190567,12908
331,158,0.21573109924793243,12925
333,70,0.16508691012859344,12994
334,26,0.2730780243873596,13033
335,158,0.2605544626712799,13067
338,70,0.14285627007484436,13183
340,32,0.22338853776454926,13279
341,195,0.14721538126468658,13320
343,158,0.26069119572639465,13389
344,171,0.19398213922977448,13430
345,195,0.11234130710363388,13477
346,70,0.23469509184360504,13532
347,195,0.19973240792751312,13539
349,195,0.10246056318283081,13614
351,195,0.12077930569648743,13716
352,167,0.28202638030052185,13741
353,185,0.270986407995224,13797
354,158,0.2666628062725067,13840
355,26,0.19456122815608978,13869
356,195,0.23979109525680542,13908
359,154,0.23811297118663788,14026
361,70,0.14098840951919556,14116
362,103,0.26685830950737,14123
363,82,0.2596070170402527,14160
364,195,0.1240537166595459,14202
365,112,0.2219165861606598,14241
366,103,0.24635277688503265,14299
367,185,0.26454728841781616,14327
368,26,0.2251940220594406,14383
371,70,0.1968747079372406,14470
373,26,0.24279843270778656,14557
375,158,0.20569424331188202,14634
377,195,0.1921537071466446,14726
379,70,0.1878715604543686,14797
380,158,0.27669933438301086,14828
381,112,0.2669590413570404,14889
382,158,0.1980929970741272,14932
383,163,0.273847758769989,14956
384,185,0.29914090037345886,14998
386,112,0.23569852113723755,15060
388,171,0.1859385371208191,15159
389,195,0.10043234378099442,15173
390,112,0.2636648714542389,15216
393,185,0.2894877791404724,15344
394,32,0.2377711683511734,15368
395,195,0.11274434626102448,15416
397,158,0.21875299513339996,15483
398,103,0.25659888982772827,15543
400,103,0.24885044991970062,15612
401,103,0.2667640447616577,15642
402,82,0.2253866344690323,15697
403,32,0.21507667005062103,15742
404,195,0.1789422631263733,15789
405,167,0.2812232971191406,15809
406,70,0.16722634434700012,15868
407,158,0.23652678728103638,15881
409,82,0.22799885272979736,15965
411,28,0.2640238404273987,16041
412,195,0.09076648205518723,16099
414,158,0.255077987909317,16147
416,195,0.17216052114963531,16239
417,70,0.22826677560806274,16271
418,158,0.2026614248752594,16324
420,185,0.2711416780948639,16402
421,32,0.24547098577022552,16428
423,82,0.21491490304470062,16518
424,171,0.24594171345233917,16537
425,171,0.20148450136184692,16613
427,171,0.20440636575222015,16662
428,158,0.2616264820098877,16701
429,82,0.2417675256729126,16739
431,158,0.2037522792816162,16830
432,82,0.21733151376247406,16872
435,32,0.22037231922149658,17003
438,112,0.2387528121471405,17095
439,70,0.17904099822044373,17121
440,70,0.16304005682468414,17163
441,103,0.26288822293281555,17215
442,82,0.22618940472602844,17264
444,82,0.2380632758140564,17348
445,32,0.23333662748336792,17387
447,158,0.2142728716135025,17456
448,112,0.28401288390159607,17488
449,70,0.23441581428050995,17527
450,195,0.09591744095087051,17587
451,112,0.25190839171409607,17619
452,158,0.276409775018692,17642
455,195,0.10243728756904602,17754
458,82,0.21310357749462128,17864
459,103,0.26511242985725403,17927
460,110,0.29932117462158203,17959
461,70,0.25046008825302124,17992
462,195,0.10203150659799576,18042
464,70,0.1495291143655777,18103
467,195,0.10241866856813431,18233
468,195,0.11976435780525208,18262
469,185,0.25259435176849365,18300
470,82,0.2629663050174713,18334
471,32,0.23773793876171112,18394
472,195,0.12386810779571533,18421
474,82,0.22654645144939423,18503
477,103,0.26298195123672485,18611
478,195,0.10255301743745804,18651
479,195,0.20492228865623474,18686
480,32,0.22123533487319946,18722
481,195,0.13038000464439392,18765
482,163,0.2901824712753296,18806
483,195,0.11995829641819,18848
484,103,0.2730289101600647,18880
485,158,0.23072309792041779,18926
486,112,0.29675984382629395,18975
488,28,0.2794701159000397,19036
489,163,0.28715118765830994,19092
491,185,0.2883874475955963,19160
492,112,0.23219095170497894,19208
493,171,0.2073369175195694,19234
495,158,0.284943163394928,19309
496,32,0.2160497009754181,19368
